	i	j	t
146	4	162	5602
147	4	162	5859
148	4	162	6183
149	4	162	6329
150	4	162	6374
151	4	162	6381
152	4	16	46
153	4	16	143
154	4	16	371
155	4	16	432
156	4	16	557
157	4	16	654
158	4	16	1214
159	4	16	1388
160	4	16	1443
161	4	16	1689
162	4	16	1983
163	4	16	2009
164	4	16	2072
165	4	16	2524
166	4	16	2712
167	4	16	2853
168	4	16	2886
169	4	16	3432
170	4	16	4370
171	4	16	4490
172	4	16	4702
173	4	16	4779
174	4	16	4892
175	4	16	5041
176	4	16	5301
177	4	16	5562
178	4	16	5582
179	4	16	5892
180	4	16	5983
181	4	16	6117
182	4	16	6154
183	4	16	7005
184	4	16	7269
185	5	70	147
186	5	70	194
187	5	70	205
188	5	70	322
189	5	70	366
190	5	70	643
191	5	70	647
192	5	70	648
193	5	70	763
194	5	70	769
195	5	70	772
196	5	70	1110
197	5	70	1243
198	5	70	1265
199	5	70	1360
200	5	70	1414
201	5	70	1825
202	5	70	1930
203	5	70	3112
204	5	70	3567
205	5	70	3623
206	5	70	4568
207	5	70	4687
208	5	70	4822
209	5	70	4969
210	5	70	5103
211	5	70	5287
212	5	70	5437
213	5	70	5969
214	5	70	6144
215	5	70	6177
216	5	70	6375
217	5	70	6455
218	5	70	7036
219	5	70	7070
220	142	211	593
221	142	211	638
222	142	211	652
223	142	211	771
224	142	211	777
225	142	211	978
226	142	211	1132
227	142	211	1271
228	142	211	1287
229	142	211	1301
230	142	211	1653
231	142	211	1678
232	142	211	2412
233	142	211	2987
234	142	211	3091
235	142	211	3621
236	142	211	3720
237	142	211	3891
238	142	211	3926
239	142	211	4500
240	142	211	4568
241	142	211	5287
242	142	211	5484
243	142	211	5537
244	142	211	5547
245	142	211	5557
246	142	211	5710
247	142	211	5947
248	142	211	6120
249	142	211	6324
250	142	211	6441
251	142	211	6687
252	101	111	301
253	101	111	387
254	101	111	419
255	101	111	656
256	101	111	735
257	101	111	822
258	101	111	844
259	101	111	947
260	101	111	1373
261	101	111	1636
262	101	111	1804
263	101	111	2819
264	101	111	3266
265	101	111	3442
266	101	111	3570
267	101	111	3862
268	101	111	3915
269	101	111	4213
270	101	111	4489
271	101	111	4502
272	101	111	4556
273	101	111	4911
274	101	111	5018
275	101	111	5075
276	101	111	6030
277	101	111	6125
278	101	111	6224
279	101	111	6260
280	101	111	6439
281	101	111	6461
282	101	111	6498
283	101	111	6682
284	101	111	6718
285	101	111	6853
286	64	191	15
287	64	191	208
288	64	191	294
289	64	191	362
290	64	191	369
291	64	191	404
292	64	191	412
293	64	191	458
294	64	191	499
295	64	191	518
296	64	191	599
297	64	191	1270
298	64	191	1280
299	64	191	1289
300	64	191	1571
301	64	191	1823
302	64	191	2079
303	64	191	2150
304	64	191	2270
305	64	191	2805
306	64	191	2842
307	64	191	2885
308	64	191	3005
309	64	191	3029
310	64	191	3432
311	64	191	3671
312	64	191	3820
313	64	191	3917
314	64	191	3959
315	64	191	4195
316	64	191	4252
317	64	191	4287
318	64	191	4294
319	64	191	4296
320	64	191	4607
321	64	191	5197
322	64	191	5747
323	64	191	6114
324	64	191	6115
325	64	191	6242
326	64	191	6298
327	64	191	6384
328	64	191	6411
329	64	191	6448
330	64	191	6660
331	64	191	6960
332	42	191	83
333	42	191	316
334	42	191	412
335	42	191	910
336	42	191	1132
337	42	191	1168
338	42	191	1185
339	42	191	1252
340	42	191	1294
341	42	191	1758
342	42	191	1960
343	42	191	1996
344	42	191	2339
345	42	191	2461
346	42	191	2468
347	42	191	2480
348	42	191	2820
349	42	191	3027
350	42	191	3151
351	42	191	3236
352	42	191	3477
353	42	191	3498
354	42	191	4275
355	42	191	5152
356	42	191	5261
357	42	191	5281
358	42	191	5544
359	42	191	5616
360	42	191	5795
361	42	191	5882
362	42	191	5892
363	42	191	6036
364	42	191	6333
365	42	191	6641
366	42	191	7200
367	55	257	134
368	55	257	435
369	55	257	485
370	55	257	656
371	55	257	786
372	55	257	849
373	55	257	1398
374	55	257	1528
375	55	257	1572
376	55	257	1639
377	55	257	1948
378	55	257	2097
379	55	257	2279
380	55	257	2766
381	55	257	2810
382	55	257	3393
383	55	257	3439
384	55	257	3748
385	55	257	4220
386	55	257	4285
387	55	257	4435
388	55	257	4514
389	55	257	4542
390	55	257	4909
391	55	257	5086
392	55	257	5494
393	55	257	5949
394	55	257	6049
395	55	257	6144
396	55	257	6314
397	55	257	6803
398	115	172	133
399	115	172	402
400	115	172	473
401	115	172	475
402	115	172	592
403	115	172	723
404	115	172	750
405	115	172	1451
406	115	172	1821
407	115	172	2228
408	115	172	2789
409	115	172	3093
410	115	172	3273
411	115	172	3281
412	115	172	3468
413	115	172	3775
414	115	172	3778
415	115	172	4364
416	115	172	5826
417	115	172	6160
418	115	172	6722
419	115	172	6997
420	94	224	102
421	94	224	140
422	94	224	772
423	94	224	928
424	94	224	1235
425	94	224	1247
426	94	224	2524
427	94	224	2713
428	94	224	2724
429	94	224	2987
430	94	224	3051
431	94	224	3367
432	94	224	3774
433	94	224	3931
434	94	224	4013
435	94	224	4067
436	94	224	4200
437	94	224	5227
438	94	224	5452
439	94	224	5883
440	94	224	6000
441	94	224	6144
442	94	224	6207
443	94	224	6233
444	94	224	6272
445	94	224	6575
446	20	257	30
447	20	257	125
448	20	257	369
449	20	257	400
450	20	257	597
451	20	257	640
452	20	257	1184
453	20	257	1293
454	20	257	1295
455	20	257	1898
456	20	257	2304
457	20	257	2384
458	20	257	2635
459	20	257	2894
460	20	257	2894
461	20	257	2899
462	20	257	2906
463	20	257	2939
464	20	257	4482
465	20	257	4505
466	20	257	4610
467	20	257	4647
468	20	257	4728
469	20	257	4843
470	20	257	5905
471	20	257	6044
472	20	257	6128
473	132	135	18
474	132	135	46
475	132	135	629
476	132	135	766
477	132	135	770
478	132	135	770
479	132	135	841
480	132	135	999
481	132	135	1215
482	132	135	1244
483	132	135	1359
484	132	135	2130
485	132	135	2234
486	132	135	2381
487	132	135	2683
488	132	135	3032
489	132	135	3038
490	132	135	3102
491	132	135	3246
492	132	135	3754
493	132	135	4139
494	132	135	4417
495	132	135	4486
496	132	135	5167
497	132	135	5370
498	132	135	5616
499	132	135	5709
500	132	135	5945
501	132	135	5994
502	132	135	6012
503	132	135	6058
504	132	135	6361
505	132	135	6582
506	132	135	6768
507	132	135	7053
508	132	135	7147
509	118	154	29
510	118	154	313
511	118	154	335
512	118	154	605
513	118	154	893
514	118	154	1038
515	118	154	1362
516	118	154	1963
517	118	154	2053
518	118	154	2103
519	118	154	2913
520	118	154	2946
521	118	154	3024
522	118	154	3580
523	118	154	4366
524	118	154	4625
525	118	154	4954
526	118	154	5246
527	118	154	5762
528	118	154	5908
529	118	154	6105
530	118	154	6184
531	118	154	6314
532	118	154	6875
533	118	154	7141
534	37	147	245
535	37	147	411
536	37	147	456
537	37	147	794
538	37	147	924
539	37	147	1290
540	37	147	1437
541	37	147	1491
542	37	147	1846
543	37	147	2337
544	37	147	2459
545	37	147	2796
546	37	147	2886
547	37	147	2959
548	37	147	3255
549	37	147	3363
550	37	147	3427
551	37	147	3528
552	37	147	3637
553	37	147	4312
554	37	147	4316
555	37	147	4821
556	37	147	4847
557	37	147	4890
558	37	147	5033
559	37	147	5246
560	37	147	5413
561	37	147	5885
562	37	147	5895
563	37	147	6065
564	37	147	6098
565	37	147	6119
566	37	147	6149
567	37	147	6214
568	37	147	6284
569	37	147	6478
570	37	147	6575
571	37	147	6657
572	18	92	75
573	18	92	445
574	18	92	523
575	18	92	575
576	18	92	582
577	18	92	1271
578	18	92	1274
579	18	92	1653
580	18	92	1842
581	18	92	2069
582	18	92	2327
583	18	92	2534
584	18	92	2750
585	18	92	2980
586	18	92	3220
587	18	92	3616
588	18	92	3624
589	18	92	3684
590	18	92	4144
591	18	92	4340
592	18	92	4403
593	18	92	4522
594	18	92	4522
595	18	92	4743
596	18	92	5914
597	18	92	6139
598	18	92	6198
599	18	92	6268
600	18	92	6524
601	18	92	6857
602	18	92	7167
603	42	64	132
604	42	64	201
605	42	64	1137
606	42	64	1310
607	42	64	1311
608	42	64	1491
609	42	64	1511
610	42	64	1538
611	42	64	2008
612	42	64	2404
613	42	64	2730
614	42	64	3282
615	42	64	3761
616	42	64	3832
617	42	64	4399
618	42	64	4478
619	42	64	4478
620	42	64	4537
621	42	64	4799
622	42	64	5034
623	42	64	5075
624	42	64	5157
625	42	64	5602
626	42	64	5832
627	42	64	6065
628	42	64	6134
629	42	64	6146
630	42	64	6566
631	42	64	6874
632	42	64	7213
633	66	76	104
634	66	76	163
635	66	76	211
636	66	76	259
637	66	76	669
638	66	76	712
639	66	76	775
640	66	76	820
641	66	76	1137
642	66	76	2321
643	66	76	2924
644	66	76	2997
645	66	76	3120
646	66	76	3125
647	66	76	3176
648	66	76	3918
649	66	76	3987
650	66	76	4033
651	66	76	4143
652	66	76	4167
653	66	76	4187
654	66	76	4225
655	66	76	4590
656	66	76	4651
657	66	76	4893
658	66	76	5004
659	66	76	6282
660	66	76	6350
661	66	76	6673
662	66	76	6780
663	66	76	6859
664	66	76	6926
665	66	76	7347
666	66	76	7372
667	25	66	198
668	25	66	399
669	25	66	584
670	25	66	641
671	25	66	789
672	25	66	1147
673	25	66	1339
674	25	66	1632
675	25	66	1706
676	25	66	1838
677	25	66	2018
678	25	66	2024
679	25	66	2052
680	25	66	2199
681	25	66	2248
682	25	66	2366
683	25	66	2370
684	25	66	2585
685	25	66	2767
686	25	66	2889
687	25	66	2925
688	25	66	3457
689	25	66	3595
690	25	66	3622
691	25	66	4560
692	25	66	4598
693	25	66	4857
694	25	66	5072
695	25	66	5235
696	25	66	5282
697	25	66	5790
698	25	66	5872
699	25	66	6052
700	25	66	6156
701	25	66	6169
702	25	66	6358
703	25	66	6360
704	25	66	6521
705	25	66	6600
706	195	197	402
707	195	197	614
708	195	197	632
709	195	197	790
710	195	197	845
711	195	197	1107
712	195	197	1175
713	195	197	1241
714	195	197	1265
715	195	197	1565
716	195	197	2282
717	195	197	2396
718	195	197	2629
719	195	197	2821
720	195	197	2998
721	195	197	3017
722	195	197	3028
723	195	197	3407
724	195	197	3729
725	195	197	4595
726	195	197	4745
727	195	197	4823
728	195	197	5259
729	195	197	5456
730	195	197	6143
731	195	197	6265
732	195	197	6313
733	195	197	6655
734	195	197	6656
735	195	197	6660
736	195	197	7216
737	195	197	7332
738	105	179	58
739	105	179	177
740	105	179	411
741	105	179	486
742	105	179	547
743	105	179	666
744	105	179	1248
745	105	179	1374
746	105	179	2195
747	105	179	2382
748	105	179	2432
749	105	179	3304
750	105	179	3715
751	105	179	4351
752	105	179	4500
753	105	179	4526
754	105	179	4657
755	105	179	5124
756	105	179	5217
757	105	179	5414
758	105	179	5502
759	105	179	5511
760	105	179	6091
761	105	179	6118
762	105	179	6200
763	105	179	6350
764	105	179	6814
765	105	179	7168
766	155	211	421
767	155	211	1006
768	155	211	1007
769	155	211	1050
770	155	211	1123
771	155	211	1302
772	155	211	1331
773	155	211	1615
774	155	211	1780
775	155	211	2130
776	155	211	2297
777	155	211	2415
778	155	211	2687
779	155	211	2896
780	155	211	2944
781	155	211	3491
782	155	211	3547
783	155	211	3619
784	155	211	3923
785	155	211	4145
786	155	211	4147
787	155	211	4211
788	155	211	4454
789	155	211	4489
790	155	211	5977
791	155	211	6135
792	155	211	6151
793	155	211	6649
794	155	211	6874
795	155	211	7016
796	155	211	7125
797	155	211	7328
798	78	252	166
799	78	252	385
800	78	252	841
801	78	252	1293
802	78	252	1482
803	78	252	2302
804	78	252	2380
805	78	252	2585
806	78	252	2684
807	78	252	2844
808	78	252	3249
809	78	252	3749
810	78	252	4021
811	78	252	4154
812	78	252	4171
813	78	252	4870
814	78	252	5262
815	78	252	5319
816	78	252	5455
817	78	252	5765
818	78	252	5773
819	78	252	6150
820	78	252	6205
821	78	252	6241
822	78	252	6409
823	78	252	6429
824	78	252	6467
825	85	252	21
826	85	252	154
827	85	252	237
828	85	252	249
829	85	252	274
830	85	252	440
831	85	252	580
832	85	252	1485
833	85	252	1634
834	85	252	1822
835	85	252	2005
836	85	252	2109
837	85	252	2147
838	85	252	2189
839	85	252	2341
840	85	252	2605
841	85	252	2803
842	85	252	2822
843	85	252	2890
844	85	252	2991
845	85	252	3447
846	85	252	3507
847	85	252	3563
848	85	252	3605
849	85	252	3819
850	85	252	3853
851	85	252	4009
852	85	252	4208
853	85	252	4542
854	85	252	4806
855	85	252	5056
856	85	252	5248
857	85	252	5391
858	85	252	5618
859	85	252	5976
860	85	252	6064
861	85	252	6141
862	85	252	6442
863	85	252	7240
864	77	267	410
865	77	267	423
866	77	267	486
867	77	267	1202
868	77	267	1376
869	77	267	1439
870	77	267	1693
871	77	267	2113
872	77	267	2301
873	77	267	2547
874	77	267	2769
875	77	267	3340
876	77	267	3499
877	77	267	3509
878	77	267	3684
879	77	267	4177
880	77	267	4222
881	77	267	4254
882	77	267	4481
883	77	267	4482
884	77	267	4662
885	77	267	4667
886	77	267	4685
887	77	267	4724
888	77	267	4843
889	77	267	4946
890	77	267	5040
891	77	267	5144
892	77	267	5266
893	77	267	5506
894	77	267	5531
895	77	267	5635
896	77	267	5808
897	77	267	6127
898	77	267	6285
899	77	267	6408
900	77	267	6582
901	77	267	6682
902	77	267	6890
903	77	267	7005
904	77	267	7222
905	310	312	69
906	310	312	253
907	310	312	260
908	310	312	341
909	310	312	586
910	310	312	1058
911	310	312	1064
912	310	312	1656
913	310	312	1714
914	310	312	1948
915	310	312	2274
916	310	312	2645
917	310	312	2729
918	310	312	2884
919	310	312	2924
920	310	312	3342
921	310	312	3429
922	310	312	3989
923	310	312	4046
924	310	312	4315
925	310	312	4329
926	310	312	4356
927	310	312	4411
928	310	312	4502
929	310	312	4512
930	310	312	4623
931	310	312	4731
932	310	312	4777
933	310	312	4815
934	310	312	5075
935	310	312	5860
936	310	312	5953
937	310	312	6072
938	310	312	6074
939	310	312	6112
940	310	312	6259
941	310	312	6404
942	310	312	6548
943	310	312	7076
944	310	312	7363
945	136	212	184
946	136	212	770
947	136	212	942
948	136	212	1004
949	136	212	1031
950	136	212	1302
951	136	212	1356
952	136	212	1982
953	136	212	2004
954	136	212	2022
955	136	212	2030
956	136	212	2179
957	136	212	2379
958	136	212	2383
959	136	212	2575
960	136	212	2598
961	136	212	2642
962	136	212	2941
963	136	212	3116
964	136	212	3604
965	136	212	3613
966	136	212	3764
967	136	212	3867
968	136	212	4163
969	136	212	4499
970	136	212	4538
971	136	212	5286
972	136	212	5913
973	136	212	5938
974	136	212	6062
975	136	212	6064
976	136	212	6145
977	136	212	6487
978	136	212	6794
979	300	301	358
980	300	301	395
981	300	301	401
982	300	301	411
983	300	301	589
984	300	301	623
985	300	301	955
986	300	301	1273
987	300	301	1669
988	300	301	1808
989	300	301	2267
990	300	301	3114
991	300	301	3162
992	300	301	3262
993	300	301	3380
994	300	301	3990
995	300	301	4236
996	300	301	4275
997	300	301	4404
998	300	301	6369
999	300	301	6377
1000	300	301	6777
1001	174	287	38
1002	174	287	152
1003	174	287	163
1004	174	287	416
1005	174	287	677
1006	174	287	914
1007	174	287	1003
1008	174	287	1167
1009	174	287	1228
1010	174	287	1308
1011	174	287	1387
1012	174	287	1503
1013	174	287	2085
1014	174	287	2220
1015	174	287	2260
1016	174	287	2382
1017	174	287	2569
1018	174	287	2732
1019	174	287	2950
1020	174	287	3008
1021	174	287	3853
1022	174	287	4339
1023	174	287	4498
1024	174	287	4513
1025	174	287	4556
1026	174	287	4786
1027	174	287	5159
1028	174	287	5294
1029	174	287	5927
1030	174	287	6132
1031	174	287	6161
1032	174	287	6161
1033	174	287	6464
1034	174	287	6505
1035	86	130	15
1036	86	130	41
1037	86	130	193
1038	86	130	661
1039	86	130	750
1040	86	130	1036
1041	86	130	1304
1042	86	130	1572
1043	86	130	1942
1044	86	130	3134
1045	86	130	3159
1046	86	130	3178
1047	86	130	3276
1048	86	130	3323
1049	86	130	3934
1050	86	130	3937
1051	86	130	4186
1052	86	130	4320
1053	86	130	4782
1054	86	130	4832
1055	86	130	4893
1056	86	130	5559
1057	86	130	6111
1058	86	130	6160
1059	86	130	7092
1060	86	130	7193
1061	308	318	252
1062	308	318	300
1063	308	318	396
1064	308	318	660
1065	308	318	979
1066	308	318	984
1067	308	318	1002
1068	308	318	1234
1069	308	318	1249
1070	308	318	1994
1071	308	318	2099
1072	308	318	2425
1073	308	318	2441
1074	308	318	2741
1075	308	318	2838
1076	308	318	2913
1077	308	318	2977
1078	308	318	3095
1079	308	318	3356
1080	308	318	3476
1081	308	318	4200
1082	308	318	4235
1083	308	318	4253
1084	308	318	4699
1085	308	318	4712
1086	308	318	4871
1087	308	318	5141
1088	308	318	5219
1089	308	318	5237
1090	308	318	5267
1091	308	318	5532
1092	308	318	5584
1093	308	318	5836
1094	308	318	5916
1095	308	318	6010
1096	308	318	6109
1097	308	318	6162
1098	308	318	6193
1099	308	318	7243
1100	308	318	7245
1101	46	101	30
1102	46	101	69
1103	46	101	329
1104	46	101	488
1105	46	101	515
1106	46	101	524
1107	46	101	1273
1108	46	101	1716
1109	46	101	1747
1110	46	101	2245
1111	46	101	2347
1112	46	101	2396
1113	46	101	2411
1114	46	101	2540
1115	46	101	2558
1116	46	101	2636
1117	46	101	2840
1118	46	101	2878
1119	46	101	2916
1120	46	101	3246
1121	46	101	3625
1122	46	101	3794
1123	46	101	3853
1124	46	101	4198
1125	46	101	4399
1126	46	101	4462
1127	46	101	4505
1128	46	101	4622
1129	46	101	4670
1130	46	101	4727
1131	46	101	4983
1132	46	101	5275
1133	46	101	5527
1134	46	101	5631
1135	46	101	5775
1136	46	101	5797
1137	46	101	6074
1138	46	101	6086
1139	46	101	6231
1140	46	101	6294
1141	290	304	27
1142	290	304	38
1143	290	304	160
1144	290	304	203
1145	290	304	344
1146	290	304	1087
1147	290	304	1291
1148	290	304	1318
1149	290	304	1369
1150	290	304	1932
1151	290	304	1973
1152	290	304	2003
1153	290	304	2145
1154	290	304	2634
1155	290	304	2916
1156	290	304	3399
1157	290	304	3455
1158	290	304	4029
1159	290	304	4326
1160	290	304	4556
1161	290	304	4888
1162	290	304	5086
1163	290	304	5265
1164	290	304	5338
1165	290	304	5651
1166	290	304	5896
1167	290	304	6027
1168	290	304	6116
1169	290	304	6342
1170	290	304	6534
1171	290	304	6659
1172	290	304	6666
1173	290	304	6686
1174	290	304	6741
1175	27	50	15
1176	27	50	34
1177	27	50	43
1178	27	50	309
1179	27	50	397
1180	27	50	601
1181	27	50	1017
1182	27	50	1181
1183	27	50	1299
1184	27	50	1432
1185	27	50	1531
1186	27	50	1613
1187	27	50	1790
1188	27	50	1977
1189	27	50	2029
1190	27	50	2382
1191	27	50	2488
1192	27	50	3081
1193	27	50	3470
1194	27	50	3508
1195	27	50	3514
1196	27	50	3749
1197	27	50	4018
1198	27	50	4074
1199	27	50	4793
1200	27	50	4916
1201	27	50	5846
1202	27	50	6008
1203	27	50	6273
1204	27	50	6325
1205	27	50	6488
1206	27	50	6525
1207	27	50	7129
1208	21	241	316
1209	21	241	416
1210	21	241	563
1211	21	241	671
1212	21	241	812
1213	21	241	890
1214	21	241	936
1215	21	241	1130
1216	21	241	1212
1217	21	241	1243
1218	21	241	1284
1219	21	241	1688
1220	21	241	1700
1221	21	241	1796
1222	21	241	1996
1223	21	241	2284
1224	21	241	2757
1225	21	241	2787
1226	21	241	2936
1227	21	241	3274
1228	21	241	3502
1229	21	241	3549
1230	21	241	3771
1231	21	241	4263
1232	21	241	4479
1233	21	241	5118
1234	21	241	5225
1235	21	241	5561
1236	21	241	5621
1237	21	241	5698
1238	21	241	6074
1239	21	241	6141
1240	21	241	6524
1241	21	241	6767
1242	114	268	3
1243	114	268	16
1244	114	268	30
1245	114	268	124
1246	114	268	333
1247	114	268	366
1248	114	268	943
1249	114	268	1061
1250	114	268	1170
1251	114	268	1537
1252	114	268	1718
1253	114	268	1822
1254	114	268	2102
1255	114	268	2159
1256	114	268	2624
1257	114	268	2954
1258	114	268	3434
1259	114	268	3591
1260	114	268	3636
1261	114	268	3759
1262	114	268	4028
1263	114	268	4338
1264	114	268	4398
1265	114	268	5178
1266	114	268	5279
1267	114	268	5446
1268	114	268	5555
1269	114	268	5905
1270	114	268	6112
1271	114	268	6310
1272	114	268	6358
1273	114	185	26
1274	114	185	184
1275	114	185	194
1276	114	185	366
1277	114	185	451
1278	114	185	779
1279	114	185	898
1280	114	185	1040
1281	114	185	1269
1282	114	185	1283
1283	114	185	1759
1284	114	185	2800
1285	114	185	2889
1286	114	185	3187
1287	114	185	3204
1288	114	185	3311
1289	114	185	3402
1290	114	185	3488
1291	114	185	4352
1292	114	185	4523
1293	114	185	4725
1294	114	185	5156
1295	114	185	5579
1296	114	185	5758
1297	114	185	5882
1298	114	185	6082
1299	114	185	6236
1300	114	185	6295
1301	114	185	6367
1302	114	185	6623
1303	114	185	6758
1304	114	185	7130
1305	76	193	23
1306	76	193	357
1307	76	193	494
1308	76	193	613
1309	76	193	1213
1310	76	193	1227
1311	76	193	1952
1312	76	193	2402
1313	76	193	2518
1314	76	193	2537
1315	76	193	2565
1316	76	193	2576
1317	76	193	2667
1318	76	193	3255
1319	76	193	3260
1320	76	193	3389
1321	76	193	3483
1322	76	193	3511
1323	76	193	3589
1324	76	193	3651
1325	76	193	3854
1326	76	193	4278
1327	76	193	4299
1328	76	193	4322
1329	76	193	4523
1330	76	193	4918
1331	76	193	4936
1332	76	193	5743
1333	76	193	5874
1334	76	193	5902
1335	76	193	5989
1336	76	193	6101
1337	76	193	6318
1338	76	193	6654
1339	197	210	93
1340	197	210	485
1341	197	210	523
1342	197	210	726
1343	197	210	803
1344	197	210	980
1345	197	210	995
1346	197	210	1356
1347	197	210	1380
1348	197	210	1438
1349	197	210	1471
1350	197	210	1659
1351	197	210	1739
1352	197	210	1803
1353	197	210	2243
1354	197	210	2553
1355	197	210	2787
1356	197	210	2888
1357	197	210	3129
1358	197	210	3272
1359	197	210	3647
1360	197	210	4189
1361	197	210	4360
1362	197	210	4697
1363	197	210	4879
1364	197	210	5084
1365	197	210	5183
1366	197	210	5960
1367	197	210	5989
1368	197	210	6122
1369	197	210	6231
1370	197	210	6271
1371	197	210	6370
1372	197	210	6388
1373	305	313	343
1374	305	313	398
1375	305	313	475
1376	305	313	501
1377	305	313	550
1378	305	313	912
1379	305	313	1300
1380	305	313	1453
1381	305	313	1624
1382	305	313	1736
1383	305	313	2185
1384	305	313	2374
1385	305	313	2731
1386	305	313	2885
1387	305	313	2987
1388	305	313	3093
1389	305	313	3152
1390	305	313	3357
1391	305	313	4523
1392	305	313	4882
1393	305	313	5053
1394	305	313	5223
1395	305	313	5228
1396	305	313	5243
1397	305	313	6225
1398	305	313	6397
1399	305	313	6519
1400	305	313	6805
1401	305	313	6964
1402	21	76	124
1403	21	76	395
1404	21	76	484
1405	21	76	722
1406	21	76	794
1407	21	76	817
1408	21	76	1047
1409	21	76	1095
1410	21	76	1199
1411	21	76	1425
1412	21	76	1510
1413	21	76	1571
1414	21	76	1882
1415	21	76	2196
1416	21	76	2535
1417	21	76	2551
1418	21	76	2819
1419	21	76	3019
1420	21	76	3537
1421	21	76	3583
1422	21	76	3895
1423	21	76	4276
1424	21	76	4717
1425	21	76	4884
1426	21	76	5083
1427	21	76	5215
1428	21	76	5279
1429	21	76	6037
1430	21	76	6138
1431	21	76	6660
1432	21	76	6688
1433	21	76	7291
1434	21	76	7358
1435	198	202	615
1436	198	202	782
1437	198	202	946
1438	198	202	964
1439	198	202	1094
1440	198	202	1229
1441	198	202	1283
1442	198	202	1288
1443	198	202	1347
1444	198	202	1552
1445	198	202	2008
1446	198	202	2082
1447	198	202	2251
1448	198	202	2631
1449	198	202	2794
1450	198	202	2933
1451	198	202	3391
1452	198	202	4046
1453	198	202	4426
1454	198	202	4538
1455	198	202	4887
1456	198	202	6290
1457	198	202	6315
1458	198	202	6347
1459	198	202	6464
1460	198	202	6537
1461	198	202	6733
1462	198	202	7086
1463	198	202	7167
1464	198	202	7267
1465	98	135	243
1466	98	135	524
1467	98	135	702
1468	98	135	1016
1469	98	135	1062
1470	98	135	1105
1471	98	135	1232
1472	98	135	1425
1473	98	135	1481
1474	98	135	1522
1475	98	135	1599
1476	98	135	1635
1477	98	135	1728
1478	98	135	1952
1479	98	135	2372
1480	98	135	2383
1481	98	135	2597
1482	98	135	2615
1483	98	135	2650
1484	98	135	2935
1485	98	135	3303
1486	98	135	3339
1487	98	135	3420
1488	98	135	3821
1489	98	135	4205
1490	98	135	4463
1491	98	135	4473
1492	98	135	4502
1493	98	135	4591
1494	98	135	5067
1495	98	135	5502
1496	98	135	5634
1497	98	135	5735
1498	98	135	6344
1499	98	135	6621
1500	98	135	6678
1501	1	21	85
1502	1	21	169
1503	1	21	227
1504	1	21	384
1505	1	21	401
1506	1	21	504
1507	1	21	967
1508	1	21	1011
1509	1	21	1100
1510	1	21	1384
1511	1	21	1613
1512	1	21	1633
1513	1	21	1935
1514	1	21	2027
1515	1	21	2140
1516	1	21	2851
1517	1	21	2901
1518	1	21	2933
1519	1	21	2996
1520	1	21	3150
1521	1	21	3305
1522	1	21	3377
1523	1	21	3598
1524	1	21	4014
