	i	j	t
906	78	252	1638
907	85	252	4513
908	27	72	3568
909	91	135	3178
910	166	251	2036
911	21	98	3679
912	300	301	49
913	174	287	2633
914	94	210	397
915	136	212	890
916	1	77	6085
917	1	179	2912
918	69	104	55
919	2	264	2426
920	186	212	54
921	72	105	6004
922	14	105	1597
923	46	240	2847
924	114	268	3117
925	5	70	3621
926	142	155	3269
927	111	267	2964
928	64	191	5625
929	42	191	2016
930	55	257	1068
931	20	55	3379
932	75	145	5275
933	94	224	5676
934	43	132	2864
935	136	212	1171
936	37	147	573
937	44	147	1206
938	46	60	4224
939	290	304	6338
940	18	92	4118
941	42	64	1278
942	225	259	1193
943	183	225	3719
944	197	226	5859
945	94	226	1791
946	21	98	5565
947	155	211	2738
948	308	318	606
949	27	158	2648
950	160	171	65
951	127	264	3034
952	43	72	768
953	166	251	2552
954	78	252	3191
955	85	252	3395
956	77	179	5140
957	300	301	976
958	174	287	3483
959	34	171	3395
960	43	129	4293
961	37	44	2761
962	171	238	2886
963	91	135	6011
964	39	43	1042
965	40	47	924
966	213	257	7025
967	163	213	3064
968	1	77	3110
969	69	104	3447
970	122	238	2377
971	140	275	2504
972	186	212	3140
973	187	195	787
974	14	105	1439
975	109	241	1233
976	114	268	2448
977	122	160	5363
978	5	70	3665
979	64	191	3164
980	42	191	5804
981	224	234	1571
982	210	224	1536
983	94	224	5098
984	42	64	1787
985	321	325	561
986	198	202	1277
987	91	147	5605
988	37	147	909
989	290	304	5243
990	155	211	4860
991	18	92	1402
992	25	66	4005
993	292	310	2225
994	226	234	6144
995	210	226	2890
996	94	226	2107
997	197	226	824
998	21	98	3509
999	195	197	1798
1000	142	155	1279
1001	39	43	3433
1002	43	72	4741
1003	43	129	1987
1004	94	197	1263
1005	160	171	1969
1006	95	259	503
1007	39	72	5238
1008	72	129	756
1009	20	257	1146
1010	27	158	2903
1011	166	251	6683
1012	85	252	4586
1013	77	179	2782
1014	127	264	3220
1015	300	301	915
1016	174	287	3353
1017	37	91	4289
1018	225	259	6875
1019	308	318	2672
1020	40	47	2782
1021	91	135	5829
1022	94	210	6388
1023	136	212	3001
1024	69	104	206
1025	94	187	4463
1026	109	241	1073
1027	241	267	1918
1028	5	70	798
1029	6	80	2932
1030	112	205	382
1031	64	191	5076
1032	42	191	3335
1033	114	133	6514
1034	308	318	1451
1035	294	318	5094
1036	42	64	413
1037	75	145	4551
1038	37	147	42
1039	290	304	5189
1040	155	211	2895
1041	18	92	5521
1042	260	267	1780
1043	25	66	4251
1044	20	257	2101
1045	87	153	6374
1046	321	325	3146
1047	27	158	6324
1048	95	225	5323
1049	95	259	6263
1050	39	72	2994
1051	166	251	1693
1052	78	252	2319
1053	85	252	2951
1054	127	264	6249
1055	300	301	7060
1056	174	287	6322
1057	37	91	6118
1058	15	257	706
1059	225	259	669
1060	40	47	2535
1061	136	212	5825
1062	186	212	2510
1063	69	104	4725
1064	80	139	2546
1065	14	105	5777
1066	43	241	7064
1067	89	268	2167
1068	5	70	6902
1069	109	267	6591
1070	112	205	3606
1071	64	191	1966
1072	42	191	3583
1073	114	133	935
1074	308	318	514
1075	42	64	5480
1076	321	325	2845
1077	37	147	5633
1078	290	304	5047
1079	18	92	5611
1080	255	278	1124
1081	142	155	5225
1082	155	211	6454
1083	75	95	5568
1084	95	257	6304
1085	95	145	4913
1086	78	252	3007
1087	85	252	2287
1088	72	260	4828
1089	76	162	54
1090	75	145	4913
1091	43	199	963
1092	127	264	401
1093	300	301	4391
1094	174	287	3373
1095	83	202	3027
1096	40	47	5283
1097	43	267	2704
1098	136	212	4974
1099	46	101	6258
1100	83	213	1646
1101	95	213	2337
1102	186	212	4813
1103	69	104	766
1104	2	264	5031
1105	241	260	2921
1106	14	105	5285
1107	60	240	6859
1108	199	241	1030
1109	43	241	6221
1110	89	268	1571
1111	114	268	5907
1112	5	70	3469
1113	109	267	907
1114	210	220	6151
1115	94	220	904
1116	95	220	1170
1117	112	205	478
1118	64	191	2027
1119	42	191	2180
1120	114	133	6343
1121	115	172	6283
1122	308	318	3783
1123	224	234	3828
1124	94	224	2654
1125	75	145	133
1126	118	154	30
1127	37	147	2499
1128	290	304	4484
1129	18	92	3249
1130	42	64	2213
1131	43	66	2754
1132	195	197	4553
1133	15	20	6341
1134	20	257	4513
1135	20	202	5928
1136	321	325	484
1137	155	211	2843
1138	84	95	3392
1139	196	197	4020
1140	85	252	5036
1141	72	132	755
1142	76	162	4492
1143	29	279	2026
1144	43	199	4984
1145	300	301	912
1146	174	287	380
1147	130	184	5632
1148	47	174	3958
1149	94	234	5629
1150	40	47	6289
1151	46	101	6656
1152	210	213	2899
1153	145	213	656
1154	213	220	695
1155	186	212	4527
1156	69	104	2846
1157	14	105	2313
1158	109	241	7199
1159	43	241	1171
1160	89	268	2949
1161	55	214	3143
1162	5	70	2739
1163	43	109	1900
1164	109	267	5947
1165	196	220	6298
1166	94	220	1642
1167	39	111	3310
1168	111	260	4480
1169	112	205	5229
1170	64	191	2416
1171	42	191	5248
1172	55	234	4327
1173	210	224	3999
1174	94	224	1794
1175	42	64	6954
1176	29	221	685
1177	75	145	3001
1178	130	184	2182
1179	118	154	6074
1180	37	147	875
1181	174	287	5081
1182	290	304	4877
1183	16	76	6622
1184	18	92	4881
1185	25	66	6077
1186	305	325	696
1187	15	20	6065
1188	321	325	1748
1189	155	211	2523
1190	294	318	3568
1191	199	260	755
1192	72	132	5269
1193	78	252	383
1194	85	252	3247
1195	78	85	1185
1196	127	264	1578
1197	300	301	1495
1198	94	210	1335
1199	39	260	1241
1200	308	318	796
1201	40	47	5766
1202	136	212	2888
1203	46	101	3617
1204	213	257	2387
1205	20	213	6606
1206	186	212	1289
1207	69	104	306
1208	300	301	6613
1209	109	241	2891
1210	43	241	5326
1211	241	260	1506
1212	89	268	6843
1213	114	268	549
1214	5	70	814
1215	109	260	4543
1216	112	205	5580
1217	64	191	5243
1218	42	191	761
1219	55	210	1251
1220	55	94	2871
1221	308	318	649
1222	94	224	3437
1223	42	64	1215
1224	29	221	6167
1225	75	145	6151
1226	15	20	4203
1227	290	304	2705
1228	18	92	2890
1229	225	259	3683
1230	95	225	4775
1231	305	325	369
1232	20	198	909
1233	120	162	119
1234	292	310	938
1235	321	325	1998
1236	142	155	744
1237	155	211	4824
1238	43	132	6037
1239	43	72	907
1240	43	260	4547
1241	114	185	3323
1242	114	133	2948
1243	34	95	2072
1244	72	132	4803
1245	78	252	2875
1246	85	252	2604
1247	127	264	609
1248	174	287	2373
1249	34	257	4772
1250	46	101	2219
1251	130	184	4850
1252	37	147	144
1253	47	174	2485
1254	142	211	819
1255	109	260	5589
1256	241	260	3259
1257	69	104	5440
1258	141	239	3780
1259	89	141	5376
1260	239	268	2781
1261	109	241	5502
1262	114	268	4210
1263	5	70	6122
1264	83	220	829
1265	7	136	115
1266	7	280	2749
1267	64	191	3388
1268	42	191	5279
1269	114	133	6021
1270	308	318	3923
1271	294	318	5489
1272	94	224	4325
1273	72	132	6082
1274	43	132	178
1275	42	64	6382
1276	75	145	5846
1277	15	145	7062
1278	38	136	3452
1279	15	20	1484
1280	15	198	7211
1281	290	304	5754
1282	18	92	2916
1283	255	278	6683
1284	25	66	1061
1285	305	325	3405
1286	20	198	1233
1287	76	120	5743
1288	321	325	3589
1289	155	211	5283
1290	23	203	2379
1291	80	160	4415
1292	95	225	767
1293	43	72	6023
1294	76	162	6561
1295	78	252	5903
1296	85	252	5602
1297	127	264	3524
1298	300	301	774
1299	174	287	1946
1300	39	210	2919
1301	210	225	5437
1302	210	259	2748
1303	225	259	383
1304	130	184	264
1305	37	147	1262
1306	47	174	6673
1307	112	205	5273
1308	46	101	4656
1309	241	260	3431
1310	7	186	2730
1311	69	104	6128
1312	2	86	1285
1313	140	275	3580
1314	4	94	924
1315	94	210	1975
1316	94	224	2652
1317	187	199	4548
1318	4	210	2714
1319	109	241	708
1320	5	70	702
1321	89	110	2931
1322	53	264	417
1323	113	185	2525
1324	114	133	5530
1325	155	211	3377
1326	308	318	5437
1327	294	318	773
1328	15	39	932
1329	15	202	6508
1330	120	193	2256
1331	321	325	3190
1332	42	64	379
1333	42	191	874
1334	37	147	796
1335	290	304	2312
1336	46	101	4863
1337	18	92	4577
1338	64	191	6432
1339	225	259	3507
1340	20	197	4191
1341	20	202	1406
1342	142	155	4256
1343	136	145	4017
1344	43	132	1501
1345	43	72	6528
1346	78	252	5998
1347	85	252	1316
1348	72	132	3269
1349	130	184	3069
1350	39	75	3505
1351	310	312	2110
1352	166	227	6189
1353	127	264	4394
1354	300	301	439
1355	174	287	3132
1356	227	280	2712
1357	80	93	4526
1358	112	205	5309
1359	34	60	1313
1360	241	260	1316
1361	69	104	3388
1362	2	86	6826
1363	140	275	162
1364	141	268	5371
1365	4	94	5560
1366	4	202	2268
1367	5	70	195
1368	83	220	219
1369	7	185	540
1370	7	20	3838
1371	64	191	3956
1372	42	191	1733
1373	55	84	3637
1374	308	318	3828
1375	294	318	2446
1376	94	224	149
1377	72	132	4343
1378	43	132	3979
1379	42	64	4948
1380	136	145	193
1381	95	145	6255
1382	145	185	267
1383	13	210	6433
1384	13	225	385
1385	37	147	1535
1386	290	304	6032
1387	155	211	4625
1388	18	92	6533
1389	210	225	2524
1390	225	259	131
1391	20	225	901
1392	321	325	2832
1393	43	60	534
1394	43	72	1503
1395	93	160	3610
1396	133	152	10
1397	15	198	2763
1398	198	202	3266
1399	78	252	5400
1400	85	252	1642
1401	310	312	2520
1402	166	227	6731
1403	127	264	177
1404	300	301	6890
1405	174	287	2006
1406	15	39	3133
1407	47	174	345
1408	112	205	5830
1409	46	101	4363
1410	69	104	144
1411	138	227	4752
1412	302	314	2291
1413	141	268	5294
1414	300	301	5789
1415	109	241	6317
1416	60	241	6157
1417	5	70	3645
1418	302	317	623
1419	83	220	971
1420	2	86	2997
1421	112	205	632
1422	64	191	5180
1423	42	191	5298
1424	94	224	921
1425	58	86	6539
1426	42	64	2526
1427	29	221	3476
1428	75	145	5917
1429	95	145	828
1430	13	210	1249
1431	60	66	2426
1432	16	178	272
1433	18	92	6702
1434	255	278	602
1435	305	317	2915
1436	305	325	6236
1437	155	211	4312
1438	308	318	921
1439	39	95	342
1440	197	198	2395
1441	93	160	4601
1442	72	132	1987
1443	43	72	312
1444	75	198	753
1445	78	252	2915
1446	85	252	297
1447	166	227	2568
1448	127	264	4535
1449	174	287	3144
1450	37	147	7172
1451	43	132	3274
1452	46	101	653
1453	69	104	6090
1454	138	227	6153
1455	140	275	4371
1456	141	268	776
1457	163	187	6152
1458	16	178	5447
1459	109	241	420
1460	60	241	2620
1461	5	70	3457
1462	302	309	2211
1463	293	302	3615
1464	302	305	5568
1465	109	267	2877
1466	2	86	3254
1467	112	205	597
1468	64	191	1270
1469	42	191	815
1470	42	64	2196
1471	94	224	6488
1472	10	124	781
1473	15	202	3639
1474	15	198	2934
1475	120	193	3705
1476	95	145	6185
1477	13	210	786
1478	37	147	895
1479	60	267	5145
1480	18	92	4658
1481	255	278	2602
1482	25	66	6677
1483	292	310	2189
1484	20	257	529
1485	20	202	776
1486	305	325	5364
1487	321	325	6120
1488	155	211	1558
1489	293	317	3196
1490	295	317	3864
1491	72	132	6540
1492	43	72	5979
1493	39	226	6143
1494	198	202	610
1495	78	252	1849
1496	85	252	4362
1497	134	229	6175
1498	78	85	4556
1499	127	264	1655
1500	301	322	6331
1501	300	301	3345
1502	174	287	1923
1503	308	318	1382
1504	46	101	2784
1505	69	104	7099
1506	2	58	5799
1507	2	86	4391
1508	300	302	4890
1509	163	187	5764
1510	72	132	1436
1511	43	132	6639
1512	109	241	1241
1513	60	241	4544
1514	5	70	6687
1515	302	317	4207
1516	60	109	958
1517	109	267	879
1518	138	198	490
1519	138	227	6664
1520	138	202	1090
1521	112	205	19
1522	64	191	532
1523	42	191	1593
